Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-01-07,9.67e-05,9.69e-05,8.85e-05,8.88e-05,524147.62,1641599999999000000,48.38308086,7051,267911.42,24.82062847
2022-01-08,8.89e-05,9.16e-05,8.39e-05,8.6e-05,242560.91,1641686399999000000,21.42099045,3678,118278.36,10.46401954
2022-01-09,8.6e-05,9.38e-05,8.35e-05,8.99e-05,360389.29,1641772799999000000,31.71627891,3700,179579.72,15.80663347
2022-01-10,9e-05,9.02e-05,8.01e-05,8.37e-05,269559.74,1641859199999000000,22.74008221,4301,135176.81,11.4599461
2022-01-11,8.37e-05,8.43e-05,7.78e-05,8.14e-05,350769.99,1641945599999000000,28.44807411,4661,171088.31,13.93334175
2022-01-12,8.16e-05,9.09e-05,7.97e-05,9.05e-05,315895.21,1642031999999000000,26.4912018,5506,155790.11,13.12036515
2022-01-13,9.05e-05,9.28e-05,8.31e-05,8.31e-05,322587.38,1642118399999000000,28.14491311,4265,143132.89,12.56972095
2022-01-14,8.35e-05,8.47e-05,7.88e-05,8.21e-05,260203.23,1642204799999000000,21.2268666,3190,124479.29,10.20646388
2022-01-15,8.21e-05,8.7e-05,8.05e-05,8.46e-05,143699.65,1642291199999000000,12.02789146,2294,74055.94,6.24367792
2022-01-16,8.44e-05,8.7e-05,8.24e-05,8.36e-05,126332.64,1642377599999000000,10.60179442,1749,63016.96,5.29935698
2022-01-17,8.36e-05,8.42e-05,7.52e-05,7.57e-05,266987.78,1642463999999000000,20.87348489,2867,140262.86,10.97983851
2022-01-18,7.58e-05,7.83e-05,6.94e-05,7.07e-05,455118.22,1642550399999000000,33.04361148,3451,235498.33,17.13873065
2022-01-19,7.08e-05,7.55e-05,6.7e-05,7.12e-05,328526.68,1642636799999000000,23.24171387,2977,164674.35,11.6942271
2022-01-20,7.12e-05,7.78e-05,6.96e-05,6.96e-05,310671.4,1642723199999000000,22.79191304,2728,167415.91,12.31431795
2022-01-21,6.98e-05,7.15e-05,6.23e-05,6.61e-05,751400.78,1642809599999000000,50.20869571,6016,352908.9,23.58089692
2022-01-22,6.61e-05,6.86e-05,5.75e-05,6.09e-05,366105.81,1642895999999000000,22.63395103,3588,163008.66,10.16713533
2022-01-23,6.11e-05,6.57e-05,5.97e-05,6.21e-05,232795.19,1642982399999000000,14.48421696,4691,120900.0,7.53028561
